subgroup_1,subgroup_2,n_pairs,n_pairs_1_x,n_pairs_x_2,n_pairs_x_x,RR,true_migration_rate,p_seq,assortativity,proba_trans_before_mut,seed,threshold
0,0,0,0,0,0,NA,0.1,0.001,0.1,0.1,11,0
1,0,0,0,0,0,NA,0.075,0.001,0.1,0.1,11,0
2,0,0,0,0,0,NA,0.3,0.001,0.1,0.1,11,0
3,0,0,0,0,0,NA,0.525,0.001,0.1,0.1,11,0
0,1,0,0,0,0,NA,0.075,0.001,0.1,0.1,11,0
1,1,0,0,0,0,NA,0.1,0.001,0.1,0.1,11,0
2,1,0,0,0,0,NA,0.525,0.001,0.1,0.1,11,0
3,1,0,0,0,0,NA,0.3,0.001,0.1,0.1,11,0
0,2,0,0,0,0,NA,0.3,0.001,0.1,0.1,11,0
1,2,0,0,0,0,NA,0.525,0.001,0.1,0.1,11,0
2,2,0,0,0,0,NA,0.1,0.001,0.1,0.1,11,0
3,2,0,0,0,0,NA,0.075,0.001,0.1,0.1,11,0
0,3,0,0,0,0,NA,0.525,0.001,0.1,0.1,11,0
1,3,0,0,0,0,NA,0.3,0.001,0.1,0.1,11,0
2,3,0,0,0,0,NA,0.075,0.001,0.1,0.1,11,0
3,3,0,0,0,0,NA,0.1,0.001,0.1,0.1,11,0
0,0,0,0,0,0,NA,0.1,0.001,0.1,0.2,11,0
1,0,0,0,0,0,NA,0.075,0.001,0.1,0.2,11,0
2,0,0,0,0,0,NA,0.3,0.001,0.1,0.2,11,0
3,0,0,0,0,0,NA,0.525,0.001,0.1,0.2,11,0
0,1,0,0,0,0,NA,0.075,0.001,0.1,0.2,11,0
1,1,0,0,0,0,NA,0.1,0.001,0.1,0.2,11,0
2,1,0,0,0,0,NA,0.525,0.001,0.1,0.2,11,0
3,1,0,0,0,0,NA,0.3,0.001,0.1,0.2,11,0
0,2,0,0,0,0,NA,0.3,0.001,0.1,0.2,11,0
1,2,0,0,0,0,NA,0.525,0.001,0.1,0.2,11,0
2,2,0,0,0,0,NA,0.1,0.001,0.1,0.2,11,0
3,2,0,0,0,0,NA,0.075,0.001,0.1,0.2,11,0
0,3,0,0,0,0,NA,0.525,0.001,0.1,0.2,11,0
1,3,0,0,0,0,NA,0.3,0.001,0.1,0.2,11,0
2,3,0,0,0,0,NA,0.075,0.001,0.1,0.2,11,0
3,3,0,0,0,0,NA,0.1,0.001,0.1,0.2,11,0
0,0,0,0,0,0,NA,0.1,0.001,0.1,0.30000000000000004,11,0
1,0,0,0,0,0,NA,0.075,0.001,0.1,0.30000000000000004,11,0
2,0,0,0,0,0,NA,0.3,0.001,0.1,0.30000000000000004,11,0
3,0,0,0,0,0,NA,0.525,0.001,0.1,0.30000000000000004,11,0
0,1,0,0,0,0,NA,0.075,0.001,0.1,0.30000000000000004,11,0
1,1,0,0,0,0,NA,0.1,0.001,0.1,0.30000000000000004,11,0
2,1,0,0,0,0,NA,0.525,0.001,0.1,0.30000000000000004,11,0
3,1,0,0,0,0,NA,0.3,0.001,0.1,0.30000000000000004,11,0
0,2,0,0,0,0,NA,0.3,0.001,0.1,0.30000000000000004,11,0
1,2,0,0,0,0,NA,0.525,0.001,0.1,0.30000000000000004,11,0
2,2,0,0,0,0,NA,0.1,0.001,0.1,0.30000000000000004,11,0
3,2,0,0,0,0,NA,0.075,0.001,0.1,0.30000000000000004,11,0
0,3,0,0,0,0,NA,0.525,0.001,0.1,0.30000000000000004,11,0
1,3,0,0,0,0,NA,0.3,0.001,0.1,0.30000000000000004,11,0
2,3,0,0,0,0,NA,0.075,0.001,0.1,0.30000000000000004,11,0
3,3,0,0,0,0,NA,0.1,0.001,0.1,0.30000000000000004,11,0
0,0,0,0,0,0,NA,0.1,0.001,0.1,0.4,11,0
1,0,0,0,0,0,NA,0.075,0.001,0.1,0.4,11,0
2,0,0,0,0,0,NA,0.3,0.001,0.1,0.4,11,0
3,0,0,0,0,0,NA,0.525,0.001,0.1,0.4,11,0
0,1,0,0,0,0,NA,0.075,0.001,0.1,0.4,11,0
1,1,0,0,0,0,NA,0.1,0.001,0.1,0.4,11,0
2,1,0,0,0,0,NA,0.525,0.001,0.1,0.4,11,0
3,1,0,0,0,0,NA,0.3,0.001,0.1,0.4,11,0
0,2,0,0,0,0,NA,0.3,0.001,0.1,0.4,11,0
1,2,0,0,0,0,NA,0.525,0.001,0.1,0.4,11,0
2,2,0,0,0,0,NA,0.1,0.001,0.1,0.4,11,0
3,2,0,0,0,0,NA,0.075,0.001,0.1,0.4,11,0
0,3,0,0,0,0,NA,0.525,0.001,0.1,0.4,11,0
1,3,0,0,0,0,NA,0.3,0.001,0.1,0.4,11,0
2,3,0,0,0,0,NA,0.075,0.001,0.1,0.4,11,0
3,3,0,0,0,0,NA,0.1,0.001,0.1,0.4,11,0
0,0,0,0,0,0,NA,0.1,0.001,0.1,0.5,11,0
1,0,0,0,0,0,NA,0.075,0.001,0.1,0.5,11,0
2,0,0,0,0,0,NA,0.3,0.001,0.1,0.5,11,0
3,0,0,0,0,0,NA,0.525,0.001,0.1,0.5,11,0
0,1,0,0,0,0,NA,0.075,0.001,0.1,0.5,11,0
1,1,0,0,0,0,NA,0.1,0.001,0.1,0.5,11,0
2,1,0,0,0,0,NA,0.525,0.001,0.1,0.5,11,0
3,1,0,0,0,0,NA,0.3,0.001,0.1,0.5,11,0
0,2,0,0,0,0,NA,0.3,0.001,0.1,0.5,11,0
1,2,0,0,0,0,NA,0.525,0.001,0.1,0.5,11,0
2,2,0,0,0,0,NA,0.1,0.001,0.1,0.5,11,0
3,2,0,0,0,0,NA,0.075,0.001,0.1,0.5,11,0
0,3,0,0,0,0,NA,0.525,0.001,0.1,0.5,11,0
1,3,0,0,0,0,NA,0.3,0.001,0.1,0.5,11,0
2,3,0,0,0,0,NA,0.075,0.001,0.1,0.5,11,0
3,3,0,0,0,0,NA,0.1,0.001,0.1,0.5,11,0
0,0,0,0,0,0,NA,0.1,0.001,0.1,0.6,11,0
1,0,0,0,0,0,NA,0.075,0.001,0.1,0.6,11,0
2,0,0,0,0,0,NA,0.3,0.001,0.1,0.6,11,0
3,0,0,0,0,0,NA,0.525,0.001,0.1,0.6,11,0
0,1,0,0,0,0,NA,0.075,0.001,0.1,0.6,11,0
1,1,0,0,0,0,NA,0.1,0.001,0.1,0.6,11,0
2,1,0,0,0,0,NA,0.525,0.001,0.1,0.6,11,0
3,1,0,0,0,0,NA,0.3,0.001,0.1,0.6,11,0
0,2,0,0,0,0,NA,0.3,0.001,0.1,0.6,11,0
1,2,0,0,0,0,NA,0.525,0.001,0.1,0.6,11,0
2,2,0,0,0,0,NA,0.1,0.001,0.1,0.6,11,0
3,2,0,0,0,0,NA,0.075,0.001,0.1,0.6,11,0
0,3,0,0,0,0,NA,0.525,0.001,0.1,0.6,11,0
1,3,0,0,0,0,NA,0.3,0.001,0.1,0.6,11,0
2,3,0,0,0,0,NA,0.075,0.001,0.1,0.6,11,0
3,3,0,0,0,0,NA,0.1,0.001,0.1,0.6,11,0
0,0,0,0,0,0,NA,0.1,0.001,0.1,0.7000000000000001,11,0
1,0,0,0,0,0,NA,0.075,0.001,0.1,0.7000000000000001,11,0
2,0,0,0,0,0,NA,0.3,0.001,0.1,0.7000000000000001,11,0
3,0,0,0,0,0,NA,0.525,0.001,0.1,0.7000000000000001,11,0
0,1,0,0,0,0,NA,0.075,0.001,0.1,0.7000000000000001,11,0
1,1,0,0,0,0,NA,0.1,0.001,0.1,0.7000000000000001,11,0
2,1,0,0,0,0,NA,0.525,0.001,0.1,0.7000000000000001,11,0
3,1,0,0,0,0,NA,0.3,0.001,0.1,0.7000000000000001,11,0
0,2,0,0,0,0,NA,0.3,0.001,0.1,0.7000000000000001,11,0
1,2,0,0,0,0,NA,0.525,0.001,0.1,0.7000000000000001,11,0
2,2,0,0,0,0,NA,0.1,0.001,0.1,0.7000000000000001,11,0
3,2,0,0,0,0,NA,0.075,0.001,0.1,0.7000000000000001,11,0
0,3,0,0,0,0,NA,0.525,0.001,0.1,0.7000000000000001,11,0
1,3,0,0,0,0,NA,0.3,0.001,0.1,0.7000000000000001,11,0
2,3,0,0,0,0,NA,0.075,0.001,0.1,0.7000000000000001,11,0
3,3,0,0,0,0,NA,0.1,0.001,0.1,0.7000000000000001,11,0
0,0,0,0,0,0,NA,0.1,0.001,0.1,0.8,11,0
1,0,0,0,0,0,NA,0.075,0.001,0.1,0.8,11,0
2,0,0,0,0,0,NA,0.3,0.001,0.1,0.8,11,0
3,0,0,0,0,0,NA,0.525,0.001,0.1,0.8,11,0
0,1,0,0,0,0,NA,0.075,0.001,0.1,0.8,11,0
1,1,0,0,0,0,NA,0.1,0.001,0.1,0.8,11,0
2,1,0,0,0,0,NA,0.525,0.001,0.1,0.8,11,0
3,1,0,0,0,0,NA,0.3,0.001,0.1,0.8,11,0
0,2,0,0,0,0,NA,0.3,0.001,0.1,0.8,11,0
1,2,0,0,0,0,NA,0.525,0.001,0.1,0.8,11,0
2,2,0,0,0,0,NA,0.1,0.001,0.1,0.8,11,0
3,2,0,0,0,0,NA,0.075,0.001,0.1,0.8,11,0
0,3,0,0,0,0,NA,0.525,0.001,0.1,0.8,11,0
1,3,0,0,0,0,NA,0.3,0.001,0.1,0.8,11,0
2,3,0,0,0,0,NA,0.075,0.001,0.1,0.8,11,0
3,3,0,0,0,0,NA,0.1,0.001,0.1,0.8,11,0
0,0,0,0,0,0,NA,0.1,0.001,0.1,0.9,11,0
1,0,0,0,0,0,NA,0.075,0.001,0.1,0.9,11,0
2,0,0,0,0,0,NA,0.3,0.001,0.1,0.9,11,0
3,0,0,0,0,0,NA,0.525,0.001,0.1,0.9,11,0
0,1,0,0,0,0,NA,0.075,0.001,0.1,0.9,11,0
1,1,0,0,0,0,NA,0.1,0.001,0.1,0.9,11,0
2,1,0,0,0,0,NA,0.525,0.001,0.1,0.9,11,0
3,1,0,0,0,0,NA,0.3,0.001,0.1,0.9,11,0
0,2,0,0,0,0,NA,0.3,0.001,0.1,0.9,11,0
1,2,0,0,0,0,NA,0.525,0.001,0.1,0.9,11,0
2,2,0,0,0,0,NA,0.1,0.001,0.1,0.9,11,0
3,2,0,0,0,0,NA,0.075,0.001,0.1,0.9,11,0
0,3,0,0,0,0,NA,0.525,0.001,0.1,0.9,11,0
1,3,0,0,0,0,NA,0.3,0.001,0.1,0.9,11,0
2,3,0,0,0,0,NA,0.075,0.001,0.1,0.9,11,0
3,3,0,0,0,0,NA,0.1,0.001,0.1,0.9,11,0
0,0,0,0,0,0,NA,0.2,0.001,0.2,0.1,11,0
1,0,0,0,0,0,NA,0.0666666666666667,0.001,0.2,0.1,11,0
2,0,0,0,0,0,NA,0.266666666666667,0.001,0.2,0.1,11,0
3,0,0,0,0,0,NA,0.466666666666667,0.001,0.2,0.1,11,0
0,1,0,0,0,0,NA,0.0666666666666667,0.001,0.2,0.1,11,0
1,1,0,0,0,0,NA,0.2,0.001,0.2,0.1,11,0
2,1,0,0,0,0,NA,0.466666666666667,0.001,0.2,0.1,11,0
3,1,0,0,0,0,NA,0.266666666666667,0.001,0.2,0.1,11,0
0,2,0,0,0,0,NA,0.266666666666667,0.001,0.2,0.1,11,0
1,2,0,0,0,0,NA,0.466666666666667,0.001,0.2,0.1,11,0
2,2,0,0,0,0,NA,0.2,0.001,0.2,0.1,11,0
3,2,0,0,0,0,NA,0.0666666666666667,0.001,0.2,0.1,11,0
0,3,0,0,0,0,NA,0.466666666666667,0.001,0.2,0.1,11,0
1,3,0,0,0,0,NA,0.266666666666667,0.001,0.2,0.1,11,0
2,3,0,0,0,0,NA,0.0666666666666667,0.001,0.2,0.1,11,0
3,3,0,0,0,0,NA,0.2,0.001,0.2,0.1,11,0
0,0,0,0,0,0,NA,0.2,0.001,0.2,0.2,11,0
1,0,0,0,0,0,NA,0.0666666666666667,0.001,0.2,0.2,11,0
2,0,0,0,0,0,NA,0.266666666666667,0.001,0.2,0.2,11,0
3,0,0,0,0,0,NA,0.466666666666667,0.001,0.2,0.2,11,0
0,1,0,0,0,0,NA,0.0666666666666667,0.001,0.2,0.2,11,0
1,1,0,0,0,0,NA,0.2,0.001,0.2,0.2,11,0
2,1,0,0,0,0,NA,0.466666666666667,0.001,0.2,0.2,11,0
