strain,time,subgroup
leaf_0,178.762925437044,1
leaf_1,164.703445834235,1
leaf_2,162.329593394045,1
leaf_3,157.018772517474,1
leaf_4,152.799529953786,1
leaf_5,151.342343476087,1
leaf_6,147.682934540824,1
leaf_7,144.956303842904,1
leaf_8,144.311471867487,1
leaf_9,142.958380535949,1
leaf_10,142.921370786897,1
leaf_11,139.243971078533,1
leaf_12,138.498963546655,1
leaf_13,134.478785769752,1
leaf_14,130.123103708256,1
leaf_15,127.905540313644,1
leaf_16,126.60538238337,1
leaf_17,126.430671968861,1
leaf_18,126.122708019205,1
leaf_19,124.118350183435,1
leaf_20,122.615490218527,1
leaf_21,120.472334629058,1
leaf_22,117.498365208014,1
leaf_23,116.929925493959,1
leaf_24,116.729581308407,1
leaf_25,114.473935195442,1
leaf_26,114.051743667364,1
leaf_27,113.080539859612,1
leaf_28,112.365499822075,1
leaf_29,111.826134243937,1
leaf_30,107.7503352631,0
leaf_31,107.713535521655,1
leaf_32,107.262718464737,1
leaf_33,106.077385603507,1
leaf_34,103.300057398912,0
leaf_35,103.264960658612,0
leaf_36,103.206023977058,1
leaf_37,100.162062374718,1
leaf_38,97.4164130550352,1
leaf_39,95.6497587546373,0
leaf_40,95.36932415437,0
leaf_41,95.3366411393299,0
leaf_42,95.1495867633509,1
leaf_43,94.8277969911473,1
leaf_44,88.9780738794097,0
leaf_45,88.4659482036633,1
leaf_46,87.4206246951023,0
leaf_47,86.011878560526,0
leaf_48,85.4288326926747,1
leaf_49,84.8552139983032,0
leaf_50,83.1563951271713,0
leaf_51,82.8972085868133,0
leaf_52,82.4840220780118,0
leaf_53,81.8098370792555,0
leaf_54,81.2649690062686,0
leaf_55,79.1598290592791,0
leaf_56,78.9727264912894,0
leaf_57,78.9194226198887,0
leaf_58,78.6168555256674,0
leaf_59,78.3657033730468,1
leaf_60,78.3346094021575,1
leaf_61,77.9088667701168,0
leaf_62,76.9995458306739,1
leaf_63,76.9992825074203,0
leaf_64,75.8864869739309,0
leaf_65,75.8815672292651,0
leaf_66,75.3347633909091,0
leaf_67,72.6130270058441,0
leaf_68,71.3382348287481,0
leaf_69,70.791360816829,0
leaf_70,70.5252617097631,0
leaf_71,69.6255363306546,0
leaf_72,69.3400584845299,0
leaf_73,68.3444282875876,0
leaf_74,67.6391376712275,0
leaf_75,67.3545629117936,1
leaf_76,67.1485705977161,1
leaf_77,67.056353638893,0
leaf_78,65.4443171226382,0
leaf_79,63.1051562462213,0
leaf_80,63.0255644479756,0
leaf_81,62.7668470332478,0
leaf_82,61.8781199049001,0
leaf_83,61.8138926251547,0
leaf_84,60.4732102529026,0
leaf_85,59.1835515749976,0
leaf_86,58.4257569433063,0
leaf_87,55.6652338155518,1
leaf_88,55.0080448357185,0
leaf_89,54.7654253900914,0
leaf_90,54.0612453033376,0
leaf_91,51.1481570148734,0
leaf_92,47.9203393405832,1
leaf_93,47.7693986128698,0
leaf_94,47.3186133408338,0
leaf_95,44.9850888227367,0
leaf_96,34.8536926235033,0
leaf_97,33.2384714102423,0
leaf_98,27.7623359787312,0
leaf_99,21.9384920535477,0
leaf_100,21.7208429303048,0
leaf_101,4.88480037984535,0
