age_aggregated_i,n_indiv_i,prop_contacts_within_i
0-9y,66220,0.4204863079985417
10-19y,65776,0.5042306433681274
20-29y,66721,0.29148809137427467
30-39y,67161,0.2067619499652088
40-49y,71944,0.2198321781921441
50-59y,72772,0.24791402779918043
60-69y,50354,0.23291231846640598
70-79y,24672,0.22509051560414783
80y+,16752,0.19244866385930168
