delta,omega,proba_trans_before_mut,mu,lambda,ppv_conditional_1_jump
0,0.01,0.01,17.44420529143753,17.44420529143753,0.01023281659392521
1,0.01,0.01,17.44420529143753,17.44420529143753,0.010149169202224424
2,0.01,0.01,17.44420529143753,17.44420529143753,0.010065311024893286
3,0.01,0.01,17.44420529143753,17.44420529143753,0.009981531507161563
4,0.01,0.01,17.44420529143753,17.44420529143753,0.009898005553303028
5,0.01,0.01,17.44420529143753,17.44420529143753,0.009814849044301731
6,0.01,0.01,17.44420529143753,17.44420529143753,0.009732143328954824
7,0.01,0.01,17.44420529143753,17.44420529143753,0.009649947752570285
8,0.01,0.01,17.44420529143753,17.44420529143753,0.009568306753279044
9,0.01,0.01,17.44420529143753,17.44420529143753,0.009487254193003752
10,0.01,0.01,17.44420529143753,17.44420529143753,0.009406816156327798
11,0.01,0.01,17.44420529143753,17.44420529143753,0.009327012843031125
12,0.01,0.01,17.44420529143753,17.44420529143753,0.009247859895672688
13,0.01,0.01,17.44420529143753,17.44420529143753,0.009169369359616255
14,0.01,0.01,17.44420529143753,17.44420529143753,0.009091550395238557
15,0.01,0.01,17.44420529143753,17.44420529143753,0.00901440981792524
0,0.02,0.01,17.44420529143753,8.8664829361707,0.020439655778151107
1,0.02,0.01,17.44420529143753,8.8664829361707,0.02027426355790018
2,0.02,0.01,17.44420529143753,8.8664829361707,0.020108450659669017
3,0.02,0.01,17.44420529143753,8.8664829361707,0.01994278913931385
4,0.02,0.01,17.44420529143753,8.8664829361707,0.0197776245895367
5,0.02,0.01,17.44420529143753,8.8664829361707,0.01961318591228657
6,0.02,0.01,17.44420529143753,8.8664829361707,0.019449633743559996
7,0.02,0.01,17.44420529143753,8.8664829361707,0.019287085225451674
8,0.02,0.01,17.44420529143753,8.8664829361707,0.019125628036996748
9,0.02,0.01,17.44420529143753,8.8664829361707,0.018965328957231582
10,0.02,0.01,17.44420529143753,8.8664829361707,0.018806239398908783
11,0.02,0.01,17.44420529143753,8.8664829361707,0.01864839915016479
12,0.02,0.01,17.44420529143753,8.8664829361707,0.01849183899913483
13,0.02,0.01,17.44420529143753,8.8664829361707,0.018336582631818827
14,0.02,0.01,17.44420529143753,8.8664829361707,0.018182648039951673
15,0.02,0.01,17.44420529143753,8.8664829361707,0.018030048588370984
0,0.03,0.01,17.44420529143753,5.940062701458614,0.030627156393434603
1,0.03,0.01,17.44420529143753,5.940062701458614,0.0303818622122741
2,0.03,0.01,17.44420529143753,5.940062701458614,0.030135938334318525
3,0.03,0.01,17.44420529143753,5.940062701458614,0.0298902328065671
4,0.03,0.01,17.44420529143753,5.940062701458614,0.02964525782726682
5,0.03,0.01,17.44420529143753,5.940062701458614,0.029401352549731814
6,0.03,0.01,17.44420529143753,5.940062701458614,0.02915875490091747
7,0.03,0.01,17.44420529143753,5.940062701458614,0.028917638320424818
8,0.03,0.01,17.44420529143753,5.940062701458614,0.02867813256916079
9,0.03,0.01,17.44420529143753,5.940062701458614,0.02844033642871055
10,0.03,0.01,17.44420529143753,5.940062701458614,0.028204325907879333
11,0.03,0.01,17.44420529143753,5.940062701458614,0.027970159791444796
12,0.03,0.01,17.44420529143753,5.940062701458614,0.027737883532208553
13,0.03,0.01,17.44420529143753,5.940062701458614,0.027507532065209096
14,0.03,0.01,17.44420529143753,5.940062701458614,0.027279131895224108
15,0.03,0.01,17.44420529143753,5.940062701458614,0.027052702679279443
0,0.04,0.01,17.44420529143753,4.455823243004585,0.04079854980882096
1,0.04,0.01,17.44420529143753,4.455823243004585,0.040475166044067756
2,0.04,0.01,17.44420529143753,4.455823243004585,0.04015094448757867
3,0.04,0.01,17.44420529143753,4.455823243004585,0.03982700267184481
4,0.04,0.01,17.44420529143753,4.455823243004585,0.03950401538945021
5,0.04,0.01,17.44420529143753,4.455823243004585,0.03918242932522649
6,0.04,0.01,17.44420529143753,4.455823243004585,0.03886255773760617
7,0.04,0.01,17.44420529143753,4.455823243004585,0.038544628892752265
8,0.04,0.01,17.44420529143753,4.455823243004585,0.03822881349691633
9,0.04,0.01,17.44420529143753,4.455823243004585,0.03791524143792767
10,0.04,0.01,17.44420529143753,4.455823243004585,0.03760401260356685
11,0.04,0.01,17.44420529143753,4.455823243004585,0.03729520419605335
12,0.04,0.01,17.44420529143753,4.455823243004585,0.03698887586242914
13,0.04,0.01,17.44420529143753,4.455823243004585,0.036685073403980646
14,0.04,0.01,17.44420529143753,4.455823243004585,0.036383831527612376
15,0.04,0.01,17.44420529143753,4.455823243004585,0.036085175931469066
0,0.05,0.01,17.44420529143753,3.5559451504049755,0.050955960191860473
1,0.05,0.01,17.44420529143753,3.5559451504049755,0.05055627848422601
2,0.05,0.01,17.44420529143753,3.5559451504049755,0.050155551886805254
3,0.05,0.01,17.44420529143753,3.5559451504049755,0.04975516099188285
4,0.05,0.01,17.44420529143753,3.5559451504049755,0.04935593922633291
5,0.05,0.01,17.44420529143753,3.5559451504049755,0.04895843812278221
6,0.05,0.01,17.44420529143753,3.5559451504049755,0.04856304433882153
7,0.05,0.01,17.44420529143753,3.5559451504049755,0.04817003951754492
8,0.05,0.01,17.44420529143753,3.5559451504049755,0.04777963419125016
9,0.05,0.01,17.44420529143753,3.5559451504049755,0.04739198847192582
10,0.05,0.01,17.44420529143753,3.5559451504049755,0.04700722542116594
11,0.05,0.01,17.44420529143753,3.5559451504049755,0.04662544008951638
12,0.05,0.01,17.44420529143753,3.5559451504049755,0.04624670585642216
13,0.05,0.01,17.44420529143753,3.5559451504049755,0.045871079013967225
