delta,omega,proba_trans_before_mut,mu,lambda,ppv_conditional_1_jump
14,0.05,0.01,17.44420529143753,3.5559451504049755,0.045498602166539684
15,0.05,0.01,17.44420529143753,3.5559451504049755,0.045129306807684816
0,0.060000000000000005,0.01,17.44420529143753,2.95105971255702,0.061100945643938795
1,0.060000000000000005,0.01,17.44420529143753,2.95105971255702,0.06062674199368907
2,0.060000000000000005,0.01,17.44420529143753,2.95105971255702,0.060151287437047056
3,0.060000000000000005,0.01,17.44420529143753,2.95105971255702,0.059676219262626014
4,0.060000000000000005,0.01,17.44420529143753,2.95105971255702,0.05920252561196316
5,0.060000000000000005,0.01,17.44420529143753,2.95105971255702,0.058730860210741496
6,0.060000000000000005,0.01,17.44420529143753,2.95105971255702,0.058261681205523
7,0.060000000000000005,0.01,17.44420529143753,2.95105971255702,0.05779532218432706
8,0.060000000000000005,0.01,17.44420529143753,2.95105971255702,0.05733203240065054
9,0.060000000000000005,0.01,17.44420529143753,2.95105971255702,0.056872001320652885
10,0.060000000000000005,0.01,17.44420529143753,2.95105971255702,0.056415374484845626
11,0.060000000000000005,0.01,17.44420529143753,2.95105971255702,0.05596226423178608
12,0.060000000000000005,0.01,17.44420529143753,2.95105971255702,0.055512757219072124
13,0.060000000000000005,0.01,17.44420529143753,2.95105971255702,0.05506691986069654
14,0.060000000000000005,0.01,17.44420529143753,2.95105971255702,0.05462480235956618
15,0.060000000000000005,0.01,17.44420529143753,2.95105971255702,0.054186441763808386
0,0.06999999999999999,0.01,17.44420529143753,2.5160385001115784,0.07123472144090877
1,0.06999999999999999,0.01,17.44420529143753,2.5160385001115784,0.07068775935584494
2,0.06999999999999999,0.01,17.44420529143753,2.5160385001115784,0.0701393415207374
3,0.06999999999999999,0.01,17.44420529143753,2.5160385001115784,0.06959135560833546
4,0.06999999999999999,0.01,17.44420529143753,2.5160385001115784,0.069044940588984
5,0.06999999999999999,0.01,17.44420529143753,2.5160385001115784,0.06850084975124462
6,0.06999999999999999,0.01,17.44420529143753,2.5160385001115784,0.06795961083947402
7,0.06999999999999999,0.01,17.44420529143753,2.5160385001115784,0.0674216079699481
8,0.06999999999999999,0.01,17.44420529143753,2.5160385001115784,0.06688712802524267
9,0.06999999999999999,0.01,17.44420529143753,2.5160385001115784,0.06635638896647023
10,0.06999999999999999,0.01,17.44420529143753,2.5160385001115784,0.06582955812740567
11,0.06999999999999999,0.01,17.44420529143753,2.5160385001115784,0.06530676458229957
12,0.06999999999999999,0.01,17.44420529143753,2.5160385001115784,0.06478810781961472
13,0.06999999999999999,0.01,17.44420529143753,2.5160385001115784,0.06427366401243942
14,0.06999999999999999,0.01,17.44420529143753,2.5160385001115784,0.06376349066853762
15,0.06999999999999999,0.01,17.44420529143753,2.5160385001115784,0.06325763015442025
0,0.08,0.01,17.44420529143753,2.1878646727466853,0.08135827407451345
1,0.08,0.01,17.44420529143753,2.1878646727466853,0.08074030670997627
2,0.08,0.01,17.44420529143753,2.1878646727466853,0.08012068002082817
3,0.08,0.01,17.44420529143753,2.1878646727466853,0.07950152579557285
4,0.08,0.01,17.44420529143753,2.1878646727466853,0.07888412997675465
5,0.08,0.01,17.44420529143753,2.1878646727466853,0.07826934280718263
6,0.08,0.01,17.44420529143753,2.1878646727466853,0.07765775975471147
7,0.08,0.01,17.44420529143753,2.1878646727466853,0.07704981406097614
8,0.08,0.01,17.44420529143753,2.1878646727466853,0.07644582915705977
9,0.08,0.01,17.44420529143753,2.1878646727466853,0.07584605064967584
10,0.08,0.01,17.44420529143753,2.1878646727466853,0.07525066698874308
11,0.08,0.01,17.44420529143753,2.1878646727466853,0.07465982343933603
12,0.08,0.01,17.44420529143753,2.1878646727466853,0.07407363188002497
13,0.08,0.01,17.44420529143753,2.1878646727466853,0.07349217788592158
14,0.08,0.01,17.44420529143753,2.1878646727466853,0.07291552598103
15,0.08,0.01,17.44420529143753,2.1878646727466853,0.07234372361847465
0,0.09,0.01,17.44420529143753,1.9313159547090295,0.09147242726067505
1,0.09,0.01,17.44420529143753,1.9313159547090295,0.09078519896902798
2,0.09,0.01,17.44420529143753,1.9313159547090295,0.09009610914668506
3,0.09,0.01,17.44420529143753,1.9313159547090295,0.08940752746793292
4,0.09,0.01,17.44420529143753,1.9313159547090295,0.0887208830168661
5,0.09,0.01,17.44420529143753,1.9313159547090295,0.08803712040126677
6,0.09,0.01,17.44420529143753,1.9313159547090295,0.08735690095352479
7,0.09,0.01,17.44420529143753,1.9313159547090295,0.08668070565037084
8,0.09,0.01,17.44420529143753,1.9313159547090295,0.08600889340151152
9,0.09,0.01,17.44420529143753,1.9313159547090295,0.08534173661911319
10,0.09,0.01,17.44420529143753,1.9313159547090295,0.08467944420014006
11,0.09,0.01,17.44420529143753,1.9313159547090295,0.08402217706266678
12,0.09,0.01,17.44420529143753,1.9313159547090295,0.08337005904082925
13,0.09,0.01,17.44420529143753,1.9313159547090295,0.08272318476018477
14,0.09,0.01,17.44420529143753,1.9313159547090295,0.08208162547722027
15,0.09,0.01,17.44420529143753,1.9313159547090295,0.08144543350418454
0,0.09999999999999999,0.01,17.44420529143753,1.7251478969635143,0.10157788348020003
1,0.09999999999999999,0.01,17.44420529143753,1.7251478969635143,0.10082313098433959
2,0.09999999999999999,0.01,17.44420529143753,1.7251478969635143,0.10006631622200811
3,0.09999999999999999,0.01,17.44420529143753,1.7251478969635143,0.09931004055760675
4,0.09999999999999999,0.01,17.44420529143753,1.7251478969635143,0.09855587240960563
5,0.09999999999999999,0.01,17.44420529143753,1.7251478969635143,0.09780484817917705
6,0.09999999999999999,0.01,17.44420529143753,1.7251478969635143,0.09705769321844078
7,0.09999999999999999,0.01,17.44420529143753,1.7251478969635143,0.09631493486072819
8,0.09999999999999999,0.01,17.44420529143753,1.7251478969635143,0.09557696643451694
9,0.09999999999999999,0.01,17.44420529143753,1.7251478969635143,0.09484408632597628
10,0.09999999999999999,0.01,17.44420529143753,1.7251478969635143,0.09411652321764868
11,0.09999999999999999,0.01,17.44420529143753,1.7251478969635143,0.09339445314951969
12,0.09999999999999999,0.01,17.44420529143753,1.7251478969635143,0.09267801148272319
13,0.09999999999999999,0.01,17.44420529143753,1.7251478969635143,0.09196730154699255
14,0.09999999999999999,0.01,17.44420529143753,1.7251478969635143,0.09126240105225036
15,0.09999999999999999,0.01,17.44420529143753,1.7251478969635143,0.09056336694655825
0,0.11,0.01,17.44420529143753,1.5557786648772152,0.11167525175160423
1,0.11,0.01,17.44420529143753,1.5557786648772152,0.11085470506427314
2,0.11,0.01,17.44420529143753,1.5557786648772152,0.11003189694869407
3,0.11,0.01,17.44420529143753,1.5557786648772152,0.10920965429481104
4,0.11,0.01,17.44420529143753,1.5557786648772152,0.10838968106980408
5,0.11,0.01,17.44420529143753,1.5557786648772152,0.10757310291304396
6,0.11,0.01,17.44420529143753,1.5557786648772152,0.10676070736480597
7,0.11,0.01,17.44420529143753,1.5557786648772152,0.10595306674760979
8,0.11,0.01,17.44420529143753,1.5557786648772152,0.1051506077583708
9,0.11,0.01,17.44420529143753,1.5557786648772152,0.10435365393411197
10,0.11,0.01,17.44420529143753,1.5557786648772152,0.10356245308880069
11,0.11,0.01,17.44420529143753,1.5557786648772152,0.10277719585973841
12,0.11,0.01,17.44420529143753,1.5557786648772152,0.10199802871227434
13,0.11,0.01,17.44420529143753,1.5557786648772152,0.10122506333920211
14,0.11,0.01,17.44420529143753,1.5557786648772152,0.10045838362943167
15,0.11,0.01,17.44420529143753,1.5557786648772152,0.0996980509476134
0,0.12,0.01,17.44420529143753,1.4141161674204188,0.12176506707276286
1,0.12,0.01,17.44420529143753,1.4141161674204188,0.12088045023597119
2,0.12,0.01,17.44420529143753,1.4141161674204188,0.11999337448831562
3,0.12,0.01,17.44420529143753,1.4141161674204188,0.11910688610921039
4,0.12,0.01,17.44420529143753,1.4141161674204188,0.11822282084882448
5,0.12,0.01,17.44420529143753,1.4141161674204188,0.1173423910448671
6,0.12,0.01,17.44420529143753,1.4141161674204188,0.11646644460667727
7,0.12,0.01,17.44420529143753,1.4141161674204188,0.11559559748908839
8,0.12,0.01,17.44420529143753,1.4141161674204188,0.11473030871621309
9,0.12,0.01,17.44420529143753,1.4141161674204188,0.11387092616075864
10,0.12,0.01,17.44420529143753,1.4141161674204188,0.11301771612102776
11,0.12,0.01,17.44420529143753,1.4141161674204188,0.11217088331333849
12,0.12,0.01,17.44420529143753,1.4141161674204188,0.11133058489009488
13,0.12,0.01,17.44420529143753,1.4141161674204188,0.11049694057107472
14,0.12,0.01,17.44420529143753,1.4141161674204188,0.10967004015422904
15,0.12,0.01,17.44420529143753,1.4141161674204188,0.10884994920559088
0,0.13,0.01,17.44420529143753,1.2938422624356425,0.13184780453250314
1,0.13,0.01,17.44420529143753,1.2938422624356425,0.13090083622498447
2,0.13,0.01,17.44420529143753,1.2938422624356425,0.12995121330949616
3,0.13,0.01,17.44420529143753,1.2938422624356425,0.1290021953452292
4,0.13,0.01,17.44420529143753,1.2938422624356425,0.1280557461182555
5,0.13,0.01,17.44420529143753,1.2938422624356425,0.12711316213923401
6,0.13,0.01,17.44420529143753,1.2938422624356425,0.1261753498793418
7,0.13,0.01,17.44420529143753,1.2938422624356425,0.12524296757892894
8,0.13,0.01,17.44420529143753,1.2938422624356425,0.12431650555681711
9,0.13,0.01,17.44420529143753,1.2938422624356425,0.12339633521393606
10,0.13,0.01,17.44420529143753,1.2938422624356425,0.12248274069269023
11,0.13,0.01,17.44420529143753,1.2938422624356425,0.12157594027624179
12,0.13,0.01,17.44420529143753,1.2938422624356425,0.12067610139238952
13,0.13,0.01,17.44420529143753,1.2938422624356425,0.11978335145674929
14,0.13,0.01,17.44420529143753,1.2938422624356425,0.11889778591079263
15,0.13,0.01,17.44420529143753,1.2938422624356425,0.11801947431068903
0,0.14,0.01,17.44420529143753,1.1904285207542569,0.14192388985817578
1,0.14,0.01,17.44420529143753,1.1904285207542569,0.14091628390318542
2,0.14,0.01,17.44420529143753,1.1904285207542569,0.13990582953595837
3,0.14,0.01,17.44420529143753,1.1904285207542569,0.1388959935103593
4,0.14,0.01,17.44420529143753,1.1904285207542569,0.1378888639188392
5,0.14,0.01,17.44420529143753,1.1904285207542569,0.13688581893335125
6,0.14,0.01,17.44420529143753,1.1904285207542569,0.13588782179103692
7,0.14,0.01,17.44420529143753,1.1904285207542569,0.13489557168065813
8,0.14,0.01,17.44420529143753,1.1904285207542569,0.13390958919172047
9,0.14,0.01,17.44420529143753,1.1904285207542569,0.13293026845339456
10,0.14,0.01,17.44420529143753,1.1904285207542569,0.13195791081863315
11,0.14,0.01,17.44420529143753,1.1904285207542569,0.13099274763125857
12,0.14,0.01,17.44420529143753,1.1904285207542569,0.13003495618818747
13,0.14,0.01,17.44420529143753,1.1904285207542569,0.12908467127457837
14,0.14,0.01,17.44420529143753,1.1904285207542569,0.1281419937142589
15,0.14,0.01,17.44420529143753,1.1904285207542569,0.12720699684619813
0,0.15000000000000002,0.01,17.44420529143753,1.1005436131891946,0.15199370749283203
1,0.15000000000000002,0.01,17.44420529143753,1.1005436131891946,0.1509271732888552
2,0.15000000000000002,0.01,17.44420529143753,1.1005436131891946,0.14985759886935532
3,0.15000000000000002,0.01,17.44420529143753,1.1005436131891946,0.1487886521208564
4,0.15000000000000002,0.01,17.44420529143753,1.1005436131891946,0.14772254172929097
5,0.15000000000000002,0.01,17.44420529143753,1.1005436131891946,0.14666072502937305
6,0.15000000000000002,0.01,17.44420529143753,1.1005436131891946,0.14560422023924394
7,0.15000000000000002,0.01,17.44420529143753,1.1005436131891946,0.1445537661683426
8,0.15000000000000002,0.01,17.44420529143753,1.1005436131891946,0.14350991266103783
9,0.15000000000000002,0.01,17.44420529143753,1.1005436131891946,0.14247307578205498
10,0.15000000000000002,0.01,17.44420529143753,1.1005436131891946,0.1414435734678618
11,0.15000000000000002,0.01,17.44420529143753,1.1005436131891946,0.14042164962262788
12,0.15000000000000002,0.01,17.44420529143753,1.1005436131891946,0.13940749101140315
13,0.15000000000000002,0.01,17.44420529143753,1.1005436131891946,0.13840123946736368
14,0.15000000000000002,0.01,17.44420529143753,1.1005436131891946,0.1374030009398335
15,0.15000000000000002,0.01,17.44420529143753,1.1005436131891946,0.1364128523471078
0,0.16,0.01,17.44420529143753,1.0216817354468932,0.1620576069081184
1,0.16,0.01,17.44420529143753,1.0216817354468932,0.16093384979872413
2,0.16,0.01,17.44420529143753,1.0216817354468932,0.15980686278034575
3,0.16,0.01,17.44420529143753,1.0216817354468932,0.1586805088319237
4,0.16,0.01,17.44420529143753,1.0216817354468932,0.15755711353581764
5,0.16,0.01,17.44420529143753,1.0216817354468932,0.15643821090355634
6,0.16,0.01,17.44420529143753,1.0216817354468932,0.1553248723598416
7,0.16,0.01,17.44420529143753,1.0216817354468932,0.15421787501613884
8,0.16,0.01,17.44420529143753,1.0216817354468932,0.15311779696385922
9,0.16,0.01,17.44420529143753,1.0216817354468932,0.1520250754177136
10,0.16,0.01,17.44420529143753,1.0216817354468932,0.15094004427704616
11,0.16,0.01,17.44420529143753,1.0216817354468932,0.1498629595118237
12,0.16,0.01,17.44420529143753,1.0216817354468932,0.14879401695945557
13,0.16,0.01,17.44420529143753,1.0216817354468932,0.1477333651843186
14,0.16,0.01,17.44420529143753,1.0216817354468932,0.1466811150086189
15,0.16,0.01,17.44420529143753,1.0216817354468932,0.1456373467303342
0,0.17,0.01,17.44420529143753,0.9519214621626292,0.17211590762494344
1,0.17,0.01,17.44420529143753,0.9519214621626292,0.17093662921978442
2,0.17,0.01,17.44420529143753,0.9519214621626292,0.1697539334314341
3,0.17,0.01,17.44420529143753,0.9519214621626292,0.16857187231166837
4,0.17,0.01,17.44420529143753,0.9519214621626292,0.16739288465736019
5,0.17,0.01,17.44420529143753,0.9519214621626292,0.16621857868303017
6,0.17,0.01,17.44420529143753,0.9519214621626292,0.1650500772557008
7,0.17,0.01,17.44420529143753,0.9519214621626292,0.16388819447904907
8,0.17,0.01,17.44420529143753,0.9519214621626292,0.16273353569151128
9,0.17,0.01,17.44420529143753,0.9519214621626292,0.161586558479193
10,0.17,0.01,17.44420529143753,0.9519214621626292,0.1604476120899514
11,0.17,0.01,17.44420529143753,0.9519214621626292,0.1593169640706738
12,0.17,0.01,17.44420529143753,0.9519214621626292,0.15819481894048656
13,0.17,0.01,17.44420529143753,0.9519214621626292,0.15708133168280008
14,0.17,0.01,17.44420529143753,0.9519214621626292,0.1559766177442985
15,0.17,0.01,17.44420529143753,0.9519214621626292,0.1548807606067927
0,0.18000000000000002,0.01,17.44420529143753,0.8897645384199526,0.18216890326698967
1,0.18000000000000002,0.01,17.44420529143753,0.8897645384199526,0.180935801722968
2,0.18000000000000002,0.01,17.44420529143753,0.8897645384199526,0.17969909765075573
3,0.18000000000000002,0.01,17.44420529143753,0.8897645384199526,0.17846302617503584
4,0.18000000000000002,0.01,17.44420529143753,0.8897645384199526,0.17723013563983128
5,0.18000000000000002,0.01,17.44420529143753,0.8897645384199526,0.1760021060005402
6,0.18000000000000002,0.01,17.44420529143753,0.8897645384199526,0.17478010981216716
7,0.18000000000000002,0.01,17.44420529143753,0.8897645384199526,0.17356499686941373
8,0.18000000000000002,0.01,17.44420529143753,0.8897645384199526,0.17235739876536124
9,0.18000000000000002,0.01,17.44420529143753,0.8897645384199526,0.17115779268575657
10,0.18000000000000002,0.01,17.44420529143753,0.8897645384199526,0.1699665426187868
11,0.18000000000000002,0.01,17.44420529143753,0.8897645384199526,0.16878392720496888
12,0.18000000000000002,0.01,17.44420529143753,0.8897645384199526,0.16761015925957418
13,0.18000000000000002,0.01,17.44420529143753,0.8897645384199526,0.16644539987748144
14,0.18000000000000002,0.01,17.44420529143753,0.8897645384199526,0.1652897688856101
15,0.18000000000000002,0.01,17.44420529143753,0.8897645384199526,0.16414335275751807
0,0.19,0.01,17.44420529143753,0.8340252941977424,0.19221686487664902
1,0.19,0.01,17.44420529143753,0.8340252941977424,0.1909316351462062
2,0.19,0.01,17.44420529143753,0.8340252941977424,0.18964262018218242
3,0.19,0.01,17.44420529143753,0.8340252941977424,0.18835423220103106
4,0.19,0.01,17.44420529143753,0.8340252941977424,0.18706912544055743
5,0.19,0.01,17.44420529143753,0.8340252941977424,0.1857890491462786
6,0.19,0.01,17.44420529143753,0.8340252941977424,0.18451522381649155
7,0.19,0.01,17.44420529143753,0.8340252941977424,0.18324853364415702
8,0.19,0.01,17.44420529143753,0.8340252941977424,0.18198963549211195
9,0.19,0.01,17.44420529143753,0.8340252941977424,0.1807390253807249
10,0.19,0.01,17.44420529143753,0.8340252941977424,0.1794970814364004
11,0.19,0.01,17.44420529143753,0.8340252941977424,0.17826409291551726
12,0.19,0.01,17.44420529143753,0.8340252941977424,0.17704028054893012
13,0.19,0.01,17.44420529143753,0.8340252941977424,0.17582581123996877
14,0.19,0.01,17.44420529143753,0.8340252941977424,0.17462080895567772
15,0.19,0.01,17.44420529143753,0.8340252941977424,0.17342536297301273
0,0.2,0.01,17.44420529143753,0.7837530467145651,0.2022600436591814
1,0.2,0.01,17.44420529143753,0.7837530467145651,0.20092437771112612
2,0.2,0.01,17.44420529143753,0.7837530467145651,0.19958474637451007
3,0.2,0.01,17.44420529143753,0.7837530467145651,0.1982457329944222
4,0.2,0.01,17.44420529143753,0.7837530467145651,0.19691009406261759
5,0.2,0.01,17.44420529143753,0.7837530467145651,0.19557964567500027
6,0.2,0.01,17.44420529143753,0.7837530467145651,0.19425565453788174
7,0.2,0.01,17.44420529143753,0.7837530467145651,0.1929390379579694
8,0.2,0.01,17.44420529143753,0.7837530467145651,0.19163047709032302
9,0.2,0.01,17.44420529143753,0.7837530467145651,0.19033048603153435
10,0.2,0.01,17.44420529143753,0.7837530467145651,0.18903945645011544
11,0.2,0.01,17.44420529143753,0.7837530467145651,0.18775768774597995
12,0.2,0.01,17.44420529143753,0.7837530467145651,0.18648540818996612
13,0.2,0.01,17.44420529143753,0.7837530467145651,0.18522279019534751
14,0.2,0.01,17.44420529143753,0.7837530467145651,0.18396996163327797
15,0.2,0.01,17.44420529143753,0.7837530467145651,0.18272701439947364
0,0.21000000000000002,0.01,17.44420529143753,0.7381765468318786,0.21229867327713206
1,0.21000000000000002,0.01,17.44420529143753,0.7381765468318786,0.21091426029429747
2,0.21000000000000002,0.01,17.44420529143753,0.7381765468318786,0.209525704429493
3,0.21000000000000002,0.01,17.44420529143753,0.7381765468318786,0.20813775421061845
4,0.21000000000000002,0.01,17.44420529143753,0.7381765468318786,0.20675326475663477
5,0.21000000000000002,0.01,17.44420529143753,0.7381765468318786,0.20537411658484347
6,0.21000000000000002,0.01,17.44420529143753,0.7381765468318786,0.20400162088349635
7,0.21000000000000002,0.01,17.44420529143753,0.7381765468318786,0.20263672679663614
8,0.21000000000000002,0.01,17.44420529143753,0.7381765468318786,0.20128013880124757
9,0.21000000000000002,0.01,17.44420529143753,0.7381765468318786,0.1999323883182689
10,0.21000000000000002,0.01,17.44420529143753,0.7381765468318786,0.19859387996813083
11,0.21000000000000002,0.01,17.44420529143753,0.7381765468318786,0.19726492282734964
12,0.21000000000000002,0.01,17.44420529143753,0.7381765468318786,0.19594575233605188
13,0.21000000000000002,0.01,17.44420529143753,0.7381765468318786,0.19463654612341783
14,0.21000000000000002,0.01,17.44420529143753,0.7381765468318786,0.19333743573276072
15,0.21000000000000002,0.01,17.44420529143753,0.7381765468318786,0.19204851549760715
0,0.22,0.01,17.44420529143753,0.6966634891041061,0.22233297178643008
1,0.22,0.01,17.44420529143753,0.6966634891041061,0.22090149834361786
2,0.22,0.01,17.44420529143753,0.6966634891041061,0.21946570729847464
3,0.22,0.01,17.44420529143753,0.6966634891041061,0.21803050643256017
4,0.22,0.01,17.44420529143753,0.6966634891041061,0.21659884587801428
5,0.22,0.01,17.44420529143753,0.6966634891041061,0.21517266815502312
6,0.22,0.01,17.44420529143753,0.6966634891041061,0.2137533272167177
7,0.22,0.01,17.44420529143753,0.6966634891041061,0.21234180277602063
8,0.22,0.01,17.44420529143753,0.6966634891041061,0.21093882166866573
9,0.22,0.01,17.44420529143753,0.6966634891041061,0.2095449318945058
10,0.22,0.01,17.44420529143753,0.6966634891041061,0.20816055044155332
11,0.22,0.01,17.44420529143753,0.6966634891041061,0.20678599560132188
12,0.22,0.01,17.44420529143753,0.6966634891041061,0.2054215096173958
13,0.22,0.01,17.44420529143753,0.6966634891041061,0.20406727504526112
14,0.22,0.01,17.44420529143753,0.6966634891041061,0.20272342687247907
15,0.22,0.01,17.44420529143753,0.6966634891041061,0.20139006169310023
0,0.23,0.01,17.44420529143753,0.6586905230646213,0.2323631432836812
1,0.23,0.01,17.44420529143753,0.6586905230646213,0.230886293508672
2,0.23,0.01,17.44420529143753,0.6586905230646213,0.22940495429578475
3,0.23,0.01,17.44420529143753,0.6586905230646213,0.22792418676720122
4,0.23,0.01,17.44420529143753,0.6586905230646213,0.22644703246656667
5,0.23,0.01,17.44420529143753,0.6586905230646213,0.22497549350867455
6,0.23,0.01,17.44420529143753,0.6586905230646213,0.2235109649033262
7,0.23,0.01,17.44420529143753,0.6586905230646213,0.22205445567168583
8,0.23,0.01,17.44420529143753,0.6586905230646213,0.22060671405208862
9,0.23,0.01,17.44420529143753,0.6586905230646213,0.21916830388422937
10,0.23,0.01,17.44420529143753,0.6586905230646213,0.2177396539451529
11,0.23,0.01,17.44420529143753,0.6586905230646213,0.21632109128504506
12,0.23,0.01,17.44420529143753,0.6586905230646213,0.21491286458993958
13,0.23,0.01,17.44420529143753,0.6586905230646213,0.21351516105642698
14,0.23,0.01,17.44420529143753,0.6586905230646213,0.21212811889241234
15,0.23,0.01,17.44420529143753,0.6586905230646213,0.21075183677883583
0,0.24000000000000002,0.01,17.44420529143753,0.6238207178313464,0.24238937931823154
1,0.24000000000000002,0.01,17.44420529143753,0.6238207178313464,0.24086883503817316
2,0.24000000000000002,0.01,17.44420529143753,0.6238207178313464,0.23934363248153312
3,0.24000000000000002,0.01,17.44420529143753,0.6238207178313464,0.2378189802136619
4,0.24000000000000002,0.01,17.44420529143753,0.6238207178313464,0.23629800760007974
5,0.24000000000000002,0.01,17.44420529143753,0.6238207178313464,0.23478277395193317
