delta,omega,lambda,pathogen,proba_trans_before_mut,sensitivity,specificity,ppv,f1_score,fdr,R
0,0.5,0.20092782615905697,SARS-CoV-2 (Omicron),0.6950556994421696,0.32156815776066877,0.9905940226125443,0.19424290399723557,0.24219074551677663,0.8057570960027645,1.5
0,0.51,0.19314252640211935,SARS-CoV-2 (Omicron),0.6950556994421696,0.3118846742865657,0.9906787824651638,0.20190769521983112,0.24512592828144047,0.7980923047801689,1.5
0,0.52,0.18565072781343067,SARS-CoV-2 (Omicron),0.6950556994421696,0.3021503210308243,0.9907662526809284,0.2098317293947111,0.2476677623614707,0.7901682706052889,1.5
0,0.53,0.1784360345147452,SARS-CoV-2 (Omicron),0.6950556994421696,0.29237282112611385,0.9908565265229923,0.2180254117637471,0.24978419048839007,0.7819745882362529,1.5
0,0.54,0.17148325332787334,SARS-CoV-2 (Omicron),0.6950556994421696,0.2825607053065972,0.9909496992887948,0.22649958320388097,0.2514432314844436,0.773500416796119,1.5
0,0.55,0.16477828528114657,SARS-CoV-2 (Omicron),0.6950556994421696,0.2727233526521847,0.9910458680799376,0.23526553185576268,0.2526134195765032,0.7647344681442373,1.5
0,0.56,0.15830802866617671,SARS-CoV-2 (Omicron),0.6950556994421696,0.26287102698848785,0.9911451315125069,0.24433500343779693,0.2532643124489196,0.7556649965622031,1.5
0,0.5700000000000001,0.15206029223412737,SARS-CoV-2 (Omicron),0.6950556994421696,0.2530149072445074,0.9912475893584507,0.2537202098277897,0.2533670676961444,0.7462797901722102,1.5
0,0.58,0.14602371731439107,SARS-CoV-2 (Omicron),0.6950556994421696,0.24316710983824819,0.9913533421075164,0.2634338354096718,0.2528950843501715,0.7365661645903282,1.5
0,0.59,0.1401877078028225,SARS-CoV-2 (Omicron),0.6950556994421696,0.23334070094269516,0.991462490438127,0.27348904058229906,0.2518247024636055,0.7265109594177009,1.5
0,0.6,0.1345423671063978,SARS-CoV-2 (Omicron),0.6950556994421696,0.22354969629651417,0.9915751345844186,0.2838994617081234,0.2501359493555996,0.7161005382918766,1.5
0,0.61,0.1290784412503576,SARS-CoV-2 (Omicron),0.6950556994421696,0.21380904608500437,0.9916913735855599,0.2946792066382182,0.24781331617781893,0.7053207933617818,1.5
0,0.62,0.12378726745585697,SARS-CoV-2 (Omicron),0.6950556994421696,0.2041346023498038,0.9918113044024514,0.3058428447825703,0.24484654312572804,0.6941571552174297,1.5
0,0.63,0.11866072758359641,SARS-CoV-2 (Omicron),0.6950556994421696,0.1945430664160041,0.9919350208860694,0.3174053904958904,0.24123138620834492,0.6825946095041096,1.5
0,0.64,0.1136912059141189,SARS-CoV-2 (Omicron),0.6950556994421696,0.18505191397955686,0.9920626125811558,0.32938227831368355,0.23697033341107934,0.6706177216863165,1.5
0,0.65,0.1088715508002948,SARS-CoV-2 (Omicron),0.6950556994421696,0.17567929580258937,0.9921941633488062,0.3417893282940701,0.23207323385978368,0.65821067170593,1.5
0,0.66,0.10419503978355144,SARS-CoV-2 (Omicron),0.6950556994421696,0.16644391244316398,0.9923297497919411,0.3546426993897188,0.22655780081627025,0.6453573006102812,1.5
0,0.67,0.09965534781394023,SARS-CoV-2 (Omicron),0.6950556994421696,0.15736486211666803,0.9924694394688405,0.3679588283815659,0.22044994863246326,0.6320411716184341,1.5
0,0.6799999999999999,0.09524651825627761,SARS-CoV-2 (Omicron),0.6950556994421696,0.14846146165619067,0.9926132888821277,0.38175435144013686,0.21378392574691915,0.6182456485598631,1.5
0,0.69,0.09096293640126052,SARS-CoV-2 (Omicron),0.6950556994421696,0.1397530416029635,0.9927613412340597,0.39604600482759544,0.20660221087769987,0.6039539951724046,1.5
0,0.7,0.08679930523243322,SARS-CoV-2 (Omicron),0.6950556994421696,0.13125871769171313,0.9929136239440004,0.410850500597648,0.19895514797411454,0.5891494994023521,1.5
0,0.71,0.08275062322781494,SARS-CoV-2 (Omicron),0.6950556994421696,0.1229971423556485,0.9930701459308371,0.4261843723716867,0.19090030713935793,0.5738156276283133,1.5
0,0.72,0.07881216399946102,SARS-CoV-2 (Omicron),0.6950556994421696,0.11498624129600027,0.9932308946721126,0.4420637853446922,0.18250157314023482,0.5579362146553077,1.5
0,0.73,0.07497945759568433,SARS-CoV-2 (Omicron),0.6950556994421696,0.10724294155477124,0.9933958330630698,0.4585043035757275,0.1738279793819965,0.5414956964242725,1.5
0,0.74,0.07124827330952317,SARS-CoV-2 (Omicron),0.6950556994421696,0.099782898792754,0.993564896112779,0.47552060631209886,0.16495232207862637,0.5244793936879011,1.5
0,0.75,0.06761460385364436,SARS-CoV-2 (Omicron),0.6950556994421696,0.092620232493996,0.9937379875311119,0.4931261435439287,0.15594960526379478,0.5068738564560713,1.5
0,0.76,0.06407465077652015,SARS-CoV-2 (Omicron),0.6950556994421696,0.08576727847899934,0.9939149762793482,0.5113327191395186,0.14689538064906185,0.4886672808604814,1.5
0,0.77,0.06062481100765493,SARS-CoV-2 (Omicron),0.6950556994421696,0.07923436831123833,0.9940956931782573,0.530149987715099,0.13786405565357557,0.469850012284901,1.5
0,0.78,0.0572616644310969,SARS-CoV-2 (Omicron),0.6950556994421696,0.073029644851124,0.9942799276897909,0.5495848487775467,0.12892724706058692,0.45041515122245335,1.5
0,0.79,0.05398196239662173,SARS-CoV-2 (Omicron),0.6950556994421696,0.06715892231439766,0.9944674250109126,0.5696407185646936,0.12015225609232921,0.43035928143530644,1.5
0,0.8,0.05078261708699527,SARS-CoV-2 (Omicron),0.6950556994421696,0.06162559774463774,0.9946578836389413,0.5903166562979906,0.11160073327783067,0.40968334370200943,1.5
0,0.81,0.047660691667741395,SARS-CoV-2 (Omicron),0.6950556994421696,0.05643061888470356,0.9948509535850587,0.6116063171407632,0.10332758902640032,0.3883936828592368,1.5
0,0.8200000000000001,0.04461339115298419,SARS-CoV-2 (Omicron),0.6950556994421696,0.05157251115759133,0.9950462354238805,0.6334966988832763,0.09538018960013124,0.3665033011167237,1.5
0,0.8300000000000001,0.041638053927307,SARS-CoV-2 (Omicron),0.6950556994421696,0.0470474640198557,0.9952432803695224,0.6559666430871567,0.08779785989179532,0.3440333569128433,1.5
0,0.8400000000000001,0.03873214386926177,SARS-CoV-2 (Omicron),0.6950556994421696,0.04284947454280754,0.9954415915597176,0.6789850439172218,0.0806116959226275,0.3210149560827782,1.5
0,0.8500000000000001,0.0358932430272559,SARS-CoV-2 (Omicron),0.6950556994421696,0.03897054394104183,0.9956406267068331,0.7025087089298008,0.0738446730756529,0.2974912910701992,1.5
0,0.86,0.033119044803103716,SARS-CoV-2 (Omicron),0.6950556994421696,0.03540092114399971,0.9958398022363903,0.7264798053870757,0.06751202230909079,0.2735201946129243,1.5
0,0.87,0.03040734760262253,SARS-CoV-2 (Omicron),0.6950556994421696,0.032129386633821096,0.9960384989793293,0.75082281288382,0.06162183710193108,0.24917718711617998,1.5
0,0.88,0.027756048916327863,SARS-CoV-2 (Omicron),0.6950556994421696,0.029143569900205214,0.9962360694147142,0.7754408877947746,0.056175869421259905,0.2245591122052254,1.5
0,0.89,0.025163139796586936,SARS-CoV-2 (Omicron),0.6950556994421696,0.026430295284158748,0.9964318463776467,0.8002115267843717,0.051170474026524845,0.19978847321562831,1.5
0,0.9,0.022626699700566133,SARS-CoV-2 (Omicron),0.6950556994421696,0.023975954120960225,0.9966251530575729,0.8249813947737581,0.046597667356300464,0.1750186052262419,1.5
0,0.91,0.020144891670990532,SARS-CoV-2 (Omicron),0.6950556994421696,0.021766906675764596,0.99681531402147,0.8495601566230311,0.04244628090547462,0.15043984337696892,1.5
0,0.9199999999999999,0.01771595782915454,SARS-CoV-2 (Omicron),0.6950556994421696,0.01978992677644536,0.9970016669124209,0.8737131205074739,0.03870321143508803,0.12628687949252615,1.5
0,0.9299999999999999,0.015338215156811963,SARS-CoV-2 (Omicron),0.6950556994421696,0.01803271806312907,0.9971835744052229,0.897152463523205,0.0353548063492754,0.10284753647679501,1.5
0,0.94,0.013010051545552535,SARS-CoV-2 (Omicron),0.6950556994421696,0.016484559178231835,0.9973604359548182,0.9195267652239612,0.032388482878630796,0.08047323477603885,1.5
0,0.95,0.010729922094064669,SARS-CoV-2 (Omicron),0.6950556994421696,0.015137188590291386,0.997531698856817,0.9404085210953069,0.02979478844695026,0.059591478904693074,1.5
0,0.96,0.008496345635310185,SARS-CoV-2 (Omicron),0.6950556994421696,0.013986146896771254,0.9976968681558969,0.9592792436505075,0.027570322641752,0.04072075634949246,1.5
0,0.97,0.006307901477111318,SARS-CoV-2 (Omicron),0.6950556994421696,0.013033025992827367,0.9978555149878102,0.9755116817661136,0.02572239577021701,0.02448831823388642,1.5
0,0.98,0.00416322634099159,SARS-CoV-2 (Omicron),0.6950556994421696,0.012289618511054475,0.9980072830208915,0.9883485965253646,0.02427736023811714,0.011651403474635447,1.5
0,0.99,0.002061011485330201,SARS-CoV-2 (Omicron),0.6950556994421696,0.011786373707029379,0.9981518927667633,0.9968774211576311,0.02329729665262761,0.003122578842368884,1.5
1,0.7,0.08679930523243322,SARS-CoV-2 (Omicron),0.6950556994421696,0.27949628594074816,0.9746893554396749,0.2936581796006266,0.2864022718796087,0.7063418203993734,1.5
2,0.7,0.08679930523243322,SARS-CoV-2 (Omicron),0.6950556994421696,0.42438736523882337,0.9421291354270038,0.2163586117649048,0.28660300490065566,0.7836413882350952,1.5
3,0.7,0.08679930523243322,SARS-CoV-2 (Omicron),0.6950556994421696,0.5545157642381923,0.8937864742667909,0.1642687838112158,0.2534546143006217,0.8357312161887842,1.5
4,0.7,0.08679930523243322,SARS-CoV-2 (Omicron),0.6950556994421696,0.6646739025488424,0.8302179996038338,0.12845761112608028,0.21530457490879293,0.8715423888739198,1.5
5,0.7,0.08679930523243322,SARS-CoV-2 (Omicron),0.6950556994421696,0.7537844929761314,0.7538367688302835,0.10336938326019737,0.1818068851118633,0.8966306167398026,1.5
6,0.7,0.08679930523243322,SARS-CoV-2 (Omicron),0.6950556994421696,0.8232466394746205,0.6684386647483858,0.08548884322615186,0.15489304476003682,0.9145111567738482,1.5
7,0.7,0.08679930523243322,SARS-CoV-2 (Omicron),0.6950556994421696,0.8757150672831685,0.5785447897380167,0.07255291736340155,0.13400364441105075,0.9274470826365985,1.5
8,0.7,0.08679930523243322,SARS-CoV-2 (Omicron),0.6950556994421696,0.914272147457338,0.4887203037441453,0.06307756601603755,0.11801315525619312,0.9369224339839625,1.5
9,0.7,0.08679930523243322,SARS-CoV-2 (Omicron),0.6950556994421696,0.9419197616284799,0.40300250832534346,0.05607060701266781,0.10584072642634253,0.9439293929873321,1.5
10,0.7,0.08679930523243322,SARS-CoV-2 (Omicron),0.6950556994421696,0.9613091339847104,0.32451805477749596,0.050855286180218486,0.09660021661003328,0.9491447138197815,1.5
11,0.7,0.08679930523243322,SARS-CoV-2 (Omicron),0.6950556994421696,0.9746329643441278,0.2553116531077473,0.04696040443372812,0.0896034754704756,0.9530395955662718,1.5
12,0.7,0.08679930523243322,SARS-CoV-2 (Omicron),0.6950556994421696,0.9836179329750948,0.19636203630520477,0.044050931231284736,0.08432538424097438,0.9559490687687152,1.5
13,0.7,0.08679930523243322,SARS-CoV-2 (Omicron),0.6950556994421696,0.989571551088573,0.1477329381858591,0.04188361049997513,0.08036574143236166,0.9581163895000249,1.5
14,0.7,0.08679930523243322,SARS-CoV-2 (Omicron),0.6950556994421696,0.9934521031280313,0.10879802555876916,0.04027823962096888,0.077417678880037,0.9597217603790311,1.5
15,0.7,0.08679930523243322,SARS-CoV-2 (Omicron),0.6950556994421696,0.9959424460397429,0.07848477097977402,0.03909891922988209,0.07524389761016999,0.9609010807701179,1.5
0,0.5,0.14907273144306948,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.25961530136481054,0.9948050962416163,0.2720094255080357,0.26566788716819034,0.7279905744919644,1.5
0,0.51,0.14379711590616773,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.2508477291203813,0.9948688160380523,0.28131713124769503,0.265210158699076,0.718682868752305,1.5
0,0.52,0.13869065960834395,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.24208312993237532,0.9949340850518095,0.29086430347497233,0.2642412236442935,0.7091356965250277,1.5
0,0.53,0.1337448391639878,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.2333293080328235,0.9950009391230247,0.30065782172307637,0.26274895999598324,0.6993421782769236,1.5
0,0.54,0.12895171102262742,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.22459466978627876,0.9950694136393609,0.3107046915174127,0.2607237095237674,0.6892953084825872,1.5
0,0.55,0.1243038621670018,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.21588823970364687,0.9951395433044169,0.3210120331221571,0.2581586423477806,0.6789879668778429,1.5
0,0.56,0.11979436581121396,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.2072196712892927,0.9952113618707837,0.3315870676143436,0.2550501253738534,0.6684129323856565,1.5
0,0.5700000000000001,0.11541674151280147,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.1985992513977463,0.9952849018335737,0.3424370998682394,0.2513980863781683,0.6575629001317607,1.5
0,0.58,0.11116491919022436,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.19003789664835236,0.9953601940799293,0.3535694979710848,0.2472063639254857,0.6464305020289152,1.5
0,0.59,0.1070332066035005,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.18154714034113417,0.9954372674897339,0.364991668520444,0.24248303174023367,0.635008331479556,1.5
0,0.6,0.10301625991236055,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.17313910824768536,0.9955161484825125,0.37671102717203697,0.23724068472529686,0.623288972827963,1.5
0,0.61,0.09910905697486692,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.1648264816316637,0.9955968605053566,0.3887349637133939,0.23149667266350651,0.6112650362866061,1.5
0,0.62,0.09530687309121269,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.15662244590082045,0.9956794234566771,0.4010708008310984,0.22527326688523877,0.5989291991689016,1.5
0,0.63,0.09160525893342643,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.14854062342364852,0.9957638530407115,0.41372574561563746,0.21859774499821347,0.5862742543843625,1.5
0,0.64,0.08800002043283231,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.14059498927562444,0.9958501600480664,0.42670683270539816,0.21150237931038413,0.5732931672946018,1.5
0,0.65,0.08448720042408026,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.13279976902785934,0.995938349558207,0.44002085780727823,0.20402431597863904,0.5599791421927218,1.5
0,0.66,0.08106306186797753,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.1251693181660201,0.9960284200608064,0.45367430014226423,0.19620533429811451,0.5463256998577357,1.5
0,0.67,0.07772407249573497,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.11771798333479082,0.9961203624943147,0.46767323214633705,0.1880914789699475,0.532326767853663,1.5
0,0.6799999999999999,0.07446689073501914,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.1104599463391941,0.9962141592021164,0.48202321450553265,0.1797325626355846,0.5179767854944674,1.5
0,0.69,0.071288352793744,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.1034090526837921,0.9963097828092903,0.4967291743136697,0.17118154133646302,0.5032708256863303,1.5
0,0.7,0.06818546079114812,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.0965786273657034,0.9964071950263985,0.5117952638059878,0.16249377163590667,0.48820473619401217,1.5
0,0.71,0.06515537183765269,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.08998128161447466,0.996506345390982,0.5272246967344628,0.15372616460351038,0.4727753032655372,1.5
0,0.72,0.06219538797550235,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.08362871523363834,0.9966071699626072,0.5430195590026036,0.14493625829089762,0.45698044099739643,1.5
0,0.73,0.0593029469014501,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.07753152007539366,0.9967095899934182,0.5591805896592458,0.13618123622936856,0.4408194103407542,1.5
0,0.74,0.05647561340091732,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.07169899089310613,0.9968135106031734,0.5757069277509302,0.12751692433200554,0.42429307224906976,1.5
0,0.75,0.05371107143028766,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.06613895028634138,0.9969188194955692,0.5925958198375509,0.11899680188661697,0.40740418016244906,1.5
0,0.76,0.051007116790392444,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.060857594606415565,0.9970253857610512,0.6098422821706383,0.11067106366721113,0.3901577178293617,1.5
0,0.77,0.048361650339924414,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.05585936746953789,0.9971330588199216,0.6274387105997643,0.10258576930008739,0.3725612894002357,1.5
0,0.78,0.045772671702563585,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.0511468668975218,0.9972416675678626,0.6453744301889929,0.09478211281697646,0.3546255698110071,1.5
0,0.79,0.043238273426090296,SARS-CoV-2 (pre-Omicron),0.6376375524734903,0.046720791074373526,0.997351019793291,0.6636351752672492,0.08729583995175536,0.33636482473275076,1.5
